address, lat, lng
Gostisce Vrbinc (#restaurant), 46.021439, 14.52325
volta cafe (#restaurant), 46.045601, 14.48966
Nim 8 Min (#restaurant), 46.0569, 14.51056
Restavracija Zmajev Paviljon (#restaurant), 46.070278, 14.54197
Buf Gostinstvo (#restaurant), 46.052544, 14.449985
SRCEK (#restaurant), 46.07896, 14.49006
Kavarna Nuk (#restaurant), 46.03857, 14.47018
Gostilna pri Bitencu (#restaurant), 46.083519, 14.41883
Casa Wine & Tapas (#restaurant), 46.063061, 14.544101
Arhiv bar (#restaurant), 46.044979, 14.50673
Pecnikar (#restaurant), 46.090599, 14.57922
To Je Noro (#restaurant), 46.049412, 14.51125
Nisa Lokal Bistro (#restaurant), 46.051479, 14.5087
Gostilna Kirn (#restaurant), 45.975811, 14.422718
DEKANTER Wine boutique (#restaurant), 46.046501, 14.50763
Gostilna Brinovc (#restaurant), 46.09584, 14.58242
+Kantina MSUM (#restaurant), 46.055771, 14.516792
Marjetice (#restaurant), 46.04858, 14.49403
Long Burgers (#restaurant), 46.05711, 14.5186
Cuk Bar (#restaurant), 46.086788, 14.482746
Terra (#restaurant), 46.042099, 14.47658
Okrepcevalnica Podhod (#restaurant), 46.057964, 14.511828
Gostilna Jerincek (#restaurant), 46.028278, 14.52447
Gusterija (#restaurant), 46.044064, 14.506298
Beli Labod (#restaurant), 46.057709, 14.51722
McDonald's (#restaurant), 46.01749, 14.529924
Super Psanc PE Pavilion (#restaurant), 46.027149, 14.43248
Cube burger (#restaurant), 46.061859, 14.54286
Yildiz Han - Turska restavracija (#restaurant), 46.042736, 14.514024
Hotel Restaurant Medno (#restaurant), 46.127731, 14.42883
Subito (#restaurant), 46.070194, 14.548596
Coffe bar Gvarda (#restaurant), 46.05315, 14.50552
Buffalo Burger (#restaurant), 46.050911, 14.50718
Crnuski Dvor (#restaurant), 46.104462, 14.53835
Viski hram Ljubljana (#restaurant), 46.034401, 14.45471
Degustarna (#restaurant), 46.05164, 14.50924
Gostilna Pod Kostanji (#restaurant), 46.07019, 14.52876
Bizeljcan (#restaurant), 46.075218, 14.56068
Gostilnica Stara trta (#restaurant), 46.059872, 14.52561
Ostarija Petrinka (#restaurant), 46.06197, 14.51476
Mlinotest (#restaurant), 46.052879, 14.50211
Superbabi (#restaurant), 46.087002, 14.5146
Ice Cream Bar Grefino (#restaurant), 46.052368, 14.50312
Pub Tivoli (#restaurant), 46.061001, 14.49698
Lunch Cafe (#restaurant), 46.047932, 14.50632
Galerija Bar Trenutek (#restaurant), 46.051991, 14.51639
Svilna Pot (#restaurant), 46.052219, 14.50848
Guliver (#restaurant), 46.060051, 14.5194
Dishi (#restaurant), 46.054508, 14.50167
Gostilna Macek (#restaurant), 46.123192, 14.50291
rybarska basta (#restaurant), 46.05127, 14.50307
Sparkling wine Istenic (#restaurant), 46.06654, 14.54284
Piazza del papa (#restaurant), 46.05127, 14.50307
Pizzeria Luigi (#restaurant), 46.08474, 14.5134
Kavarna Tromostovje (#restaurant), 46.051197, 14.505909
Asian restaurant TLOFT (#restaurant), 46.055164, 14.503682
Colnarna Park Tivoli (#restaurant), 46.052109, 14.494206
Meta in Bazilika (#restaurant), 46.047176, 14.497438
Ristorante Pizzeria Bufalaf (#restaurant), 46.127731, 14.42883
Smiths Salads & Sandwiches (#restaurant), 46.055351, 14.50882
Tombstone Saloon (#restaurant), 46.04311, 14.50351
Habibi (#restaurant), 46.073269, 14.51049
Fnx (#restaurant), 46.062492, 14.56636
Basburek Ljubljana (#restaurant), 46.075062, 14.51098
Restavracija Tartuf (#restaurant), 46.05217, 14.50716
Gostilna Euro Gurman (#restaurant), 46.057369, 14.58402
Gostilna Pekel (#restaurant), 45.890572, 14.37262
Centralna Postaja (#restaurant), 46.052502, 14.509097
El Clasico (#restaurant), 46.05127, 14.50307
Swajger (#restaurant), 46.05127, 14.50307
la storia trattoria (#restaurant), 46.06385, 14.50975
Reformer Pub (#restaurant), 46.052189, 14.5083
Klub 300 (#restaurant), 46.081291, 14.46923
Restavracija 123 Self-Service (#restaurant), 46.088291, 14.47718
Piazza del papa (#restaurant), 46.021839, 14.53591
Farao (#restaurant), 46.099091, 14.54087
Kacji pastir (#restaurant), 46.068588, 14.46849
Zak (#restaurant), 46.053928, 14.50508
Cebela (#restaurant), 46.05619, 14.51376
Okrepcevalnica Bistro Avia Radomir Masovic S.p (#restaurant), 46.08279, 14.51397
Dnevni Bar Krenos (#restaurant), 46.060719, 14.61554
Spanska Vas (#restaurant), 46.063953, 14.544199
